Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Generation_Time_s,Timestamp
1,73.11339999999974,30.56155999999999,78.1036958694458,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:11:32
2,75.10679999999972,34.529436799999964,159.27219891548157,0.7375776397515528,950,338,338,0.00338,950,338,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:12:53
3,76.03939999999976,37.61550239999993,243.4861240386963,0.7844178840194777,3544,974,974,0.00974,2594,636,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:14:17
4,76.18939999999975,42.342186399999925,331.9347016811371,0.8221943430656934,14418,3118,3118,0.03118,10874,2144,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:15:46
5,76.52539999999999,43.267533199999875,421.21456575393677,0.8246769779135638,25913,5509,5509,0.05509,11495,2391,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:17:15
6,77.71439999999993,42.299999199999945,508.66549587249756,0.8152169667617076,41744,9462,9462,0.09462,15831,3953,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:18:42
7,77.71439999999993,44.464817599999925,598.433385848999,0.8064830216235953,59637,14310,14310,0.1431,17893,4848,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:20:12
8,84.12540000000013,46.66782479999988,689.0880827903748,0.8029189315689257,75480,18527,18527,0.18527,15843,4217,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:21:43
9,84.12540000000013,45.95622399999992,779.4890139102936,0.8069836965967949,92858,22210,22210,0.2221,17378,3683,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:23:13
10,119.77520000000099,46.22026839999994,869.2969777584076,0.8095488005303355,117234,27580,27580,0.2758,24376,5370,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:24:43
11,119.77520000000099,47.729766399999896,960.7380087375641,0.8139585940415816,148300,33896,33896,0.33896,31066,6316,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:26:15
12,119.77520000000099,46.87611999999991,1052.1106729507446,0.8141791563189247,187525,42799,42799,0.42799,39225,8903,True,complex,maximum_cache,True,True,True,128,100000,0,2025-06-12 20:27:46
