Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,100.58160000000062,31.24154279999999,78.60511898994446,0,0,0,0,0.0,0,0,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:45:39
2,100.58160000000062,35.244388799999996,159.92826509475708,0.789364640883978,1143,305,305,0.00305,1143,305,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:47:01
3,104.20000000000063,38.20438079999989,243.17773604393005,0.7401006344344783,3383,1188,1188,0.01188,2240,883,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:48:24
4,104.20000000000063,43.1321507999999,330.51484298706055,0.7424924924924925,6923,2401,2401,0.02401,3540,1213,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:49:51
5,104.20000000000063,44.28791079999993,418.85313987731934,0.7748486309810856,14461,4202,4202,0.04202,7538,1801,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:51:20
6,104.20000000000063,43.90568999999996,506.57236909866333,0.7787190535310012,21326,6060,6060,0.0606,6865,1858,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:52:47
7,104.20000000000063,45.70528279999993,596.0642940998077,0.7766721378744358,30284,8708,8708,0.08708,8958,2648,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:54:17
8,104.20000000000063,46.30517639999993,685.8209178447723,0.7815016410820949,38335,10718,10718,0.10718,8051,2010,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:55:46
9,130.4424000000012,46.08634639999989,775.4870328903198,0.7751821232708521,47352,13733,13733,0.13733,9017,3015,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:57:16
10,130.4424000000012,46.10456999999992,865.5282011032104,0.7808687554047762,58694,16471,16471,0.16471,11342,2738,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 15:58:46
11,130.4424000000012,45.1778363999999,953.7381510734558,0.7831831964763949,70770,19592,19592,0.19592,12076,3121,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:00:14
12,151.17960000000224,46.75293439999992,1043.7769119739532,0.7770476622948777,87271,25040,25040,0.2504,16501,5448,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:01:44
13,151.17960000000224,46.68253159999993,1136.2369420528412,0.7794911218754899,104437,29544,29544,0.29544,17166,4504,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:03:17
14,151.17960000000224,44.96774519999994,1227.7669260501862,0.7796581737004085,120840,34151,34151,0.34151,16403,4607,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:04:48
15,151.17960000000224,46.09891159999992,1318.5328109264374,0.7825401117721291,138904,38600,38600,0.386,18064,4449,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:06:19
16,151.17960000000224,46.11150839999991,1411.300819158554,0.7771217892372302,159139,45641,45641,0.45641,20235,7041,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:07:52
17,151.17960000000224,48.26356199999993,1505.6958739757538,0.777714036184295,181660,51922,51922,0.51922,22521,6281,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:09:26
18,151.17960000000224,48.25724399999996,1598.2014508247375,0.7806487627320833,204174,57370,57370,0.5737,22514,5448,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:10:59
19,151.17960000000224,49.159995599999924,1691.5349888801575,0.7846981604160592,231453,63505,63505,0.63505,27279,6135,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:12:32
20,151.17960000000224,49.24636239999992,1783.8133289813995,0.7871809777411067,251868,68094,68094,0.68094,20415,4589,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:14:04
21,151.17960000000224,49.576206799999966,1877.4521791934967,0.7896602423095773,277136,73820,73820,0.7382,25268,5726,True,complex,maximum_cache,True,True,True,128,100000,0.1,0,2025-06-22 16:15:38
