Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,88.6206,32.0294208,82.16111684,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:12
2,88.6206,36.9963288,167.407325,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:14
3,88.6206,41.8787672,255.9916291,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:15
4,88.6206,45.0674948,347.150188,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:17
5,92.2954,45.2571708,439.2658651,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:18
6,93.5548,47.2466392,533.0737631,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:20
7,137.046,46.4933848,626.2403729,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:21
8,137.046,46.4471012,718.4769771,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:23
9,137.046,47.2928228,811.8875499,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:24
10,137.046,45.6216984,904.1396391,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:26
11,137.046,46.4411192,997.65764,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:28
12,137.046,45.6702,1089.923624,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:29
13,137.046,46.4549708,1182.854143,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:31
14,137.046,48.197332,1277.1152,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:32
15,137.046,47.27725,1370.451168,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:34
16,137.046,47.572344,1464.911018,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:35
17,155.0546,49.1722116,1561.117705,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:37
18,155.0546,49.0336292,1657.644263,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:39
19,155.0546,50.2027292,1755.073595,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:40
20,155.0546,50.2390048,1852.188686,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:42
21,244.7916,53.4788792,1951.729415,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:43
22,244.7916,52.4019596,2052.133211,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:45
23,244.7916,53.814502,2154.441797,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:47
24,244.7916,54.4695676,2258.115211,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:49
25,244.7916,56.3337456,2363.402526,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:50
26,244.7916,56.1657452,2468.184539,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:52
27,244.7916,57.7280724,2574.597091,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:54
28,244.7916,57.979296,2681.923019,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:56
29,244.7916,57.288018,2788.456952,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:57
30,244.7916,57.56845,2893.616786,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 17:59
31,244.7916,58.6636724,3001.091979,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:01
32,244.7916,58.3845288,3107.738002,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:03
33,244.7916,60.4592604,3217.376828,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:05
34,244.7916,60.9890076,3328.254425,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:06
35,244.7916,61.1992088,3439.281313,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:08
36,244.7916,62.6989096,3551.249131,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:10
37,244.7916,60.5563548,3660.874044,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:12
38,244.7916,64.9616824,3775.746974,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:14
39,244.7916,64.2479992,3889.318358,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:16
40,244.7916,61.4964664,3997.956719,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:18
41,244.7916,63.3603632,4109.405688,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:19
42,244.7916,63.4256692,4220.829451,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:21
43,244.7916,64.120838,4331.429058,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:23
44,244.7916,62.1468104,4441.508403,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:25
45,244.7916,63.5992684,4552.861573,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:27
46,244.7916,65.441316,4666.058226,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:29
47,244.7916,65.1186792,4778.664011,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:31
48,244.7916,66.2973848,4894.177051,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:32
49,244.7916,64.716568,5006.42261,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:34
50,244.7916,65.8997904,5118.972003,0,0,0,0,0,0,0,FALSE,complex,none,FALSE,FALSE,FALSE,128,100000,0.1,0,6/22/2025 18:36
