Generation,Best_Fitness,Avg_Fitness,Elapsed_Time_s,Cache_Hit_Rate,Cache_Hits,Cache_Misses,Cache_Size,Cache_Utilization,Generation_Hits,Generation_Misses,Use_Caching,Computation_Complexity,Precision_Level,Use_Fast_Keys,Use_Conditional_Caching,Feature_Quantization,Feature_Size,Cache_Max_Size,Cache_Eviction_Percentage,Generation_Time_s,Timestamp
1,315.2029999999961,68.79609800000006,106.84754467010498,0,0,0,0,0.0,0,0,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 18:58:08
2,315.2029999999961,86.83053799999992,224.0422089099884,0.5196288365453248,728,673,673,0.00673,728,673,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:00:06
3,418.3509999999953,95.99892799999995,344.3170566558838,0.4313984168865435,2616,3448,3448,0.03448,1888,2775,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:02:06
4,456.978999999995,103.82211599999984,469.7722136974335,0.3773726273726274,4533,7479,7479,0.07479,1917,4031,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:04:11
5,456.978999999995,109.05729799999992,601.2659578323364,0.36462772050400916,7958,13867,13867,0.13867,3425,6388,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:06:23
6,466.2749999999948,122.99093199999966,743.2770292758942,0.3303757828810021,12660,25660,25660,0.2566,4702,11793,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:08:45
7,568.086999999996,125.25181799999959,885.4703969955444,0.3193432583676486,18147,38679,38679,0.38679,5487,13019,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:11:07
8,568.086999999996,134.04194999999928,1037.2389047145844,0.2992181776694249,24915,58352,58352,0.58352,6768,19673,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:13:39
9,568.086999999996,139.8933839999993,1185.738775730133,0.27991586899600807,32606,83879,83879,0.83879,7691,25527,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:16:07
10,614.8369999999959,146.0617499999989,1337.059074640274,0.2798876267566337,43637,112272,112272,1.12272,11031,28393,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:18:39
11,614.8369999999959,153.75167599999895,1496.8521604537964,0.28603210235709214,56828,141849,129577,1.29577,13191,29577,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:21:18
12,614.8369999999959,158.93805999999887,1659.0246531963348,0.28296527757738654,68642,173939,132090,1.3209,11814,32090,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:24:01
13,614.8369999999959,164.3072819999987,1826.2647714614868,0.27896324508333475,82767,213928,139989,1.39989,14125,39989,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:26:48
14,614.8369999999959,166.68839799999878,1996.298316001892,0.27815761065131345,96625,250750,136822,1.36822,13858,36822,True,complex,maximal_cache,True,True,True,128,100000,0.1,0,2025-07-03 19:29:38
